county,display,fips,state,slug
Pendleton,"Pendleton, WV",54071,WV,pendleton-wv
Philadelphia,"Philadelphia, PA",42101,PA,philadelphia-pa
Pike,"Pike, PA",42103,PA,pike-pa
Preston,"Preston, WV",54077,WV,preston-wv
Portsmouth City,"Portsmouth City, VA",51740,VA,portsmouth-city-va
Powhatan,"Powhatan, VA",51145,VA,powhatan-va
Pittsylvania,"Pittsylvania, VA",51143,VA,pittsylvania-va
Prince Georges,"Prince Georges, MD",24033,MD,prince-georges-md
Pocahontas,"Pocahontas, WV",54075,WV,pocahontas-wv
Poquoson City,"Poquoson City, VA",51735,VA,poquoson-city-va
Prince George,"Prince George, VA",51149,VA,prince-george-va
Potter,"Potter, PA",42105,PA,potter-pa
Prince Edward,"Prince Edward, VA",51147,VA,prince-edward-va
Rappahannock,"Rappahannock, VA",51157,VA,rappahannock-va
Prince William,"Prince William, VA",51153,VA,prince-william-va
Ritchie,"Ritchie, WV",54085,WV,ritchie-wv
Pulaski,"Pulaski, VA",51155,VA,pulaski-va
Richmond,"Richmond, VA",51159,VA,richmond-va
Randolph,"Randolph, WV",54083,WV,randolph-wv
Richmond City,"Richmond City, VA",51760,VA,richmond-city-va
Roanoke,"Roanoke, VA",51161,VA,roanoke-va
Queen Annes,"Queen Annes, MD",24035,MD,queen-annes-md
Putnam,"Putnam, WV",54079,WV,putnam-wv
Saint Marys,"Saint Marys, MD",24037,MD,saint-marys-md
Rockbridge,"Rockbridge, VA",51163,VA,rockbridge-va
Russell,"Russell, VA",51167,VA,russell-va
Roanoke City,"Roanoke City, VA",51770,VA,roanoke-city-va
Rockingham,"Rockingham, VA",51165,VA,rockingham-va
Shenandoah,"Shenandoah, VA",51171,VA,shenandoah-va
Salem,"Salem, NJ",34033,NJ,salem-nj
Snyder,"Snyder, NY",36029,NY,snyder-ny
Schuylkill,"Schuylkill, PA",42107,PA,schuylkill-pa
Snyder,"Snyder, PA",42109,PA,snyder-pa
Staunton City,"Staunton City, VA",51790,VA,staunton-city-va
Somerset,"Somerset, NJ",34035,NJ,somerset-nj
Somerset,"Somerset, MD",24039,MD,somerset-md
Suffolk City,"Suffolk City, VA",51800,VA,suffolk-city-va
Somerset,"Somerset, PA",42111,PA,somerset-pa
Snyder,"Snyder, TX",48415,TX,snyder-tx
Sullivan,"Sullivan, PA",42113,PA,sullivan-pa
Spotsylvania,"Spotsylvania, VA",51177,VA,spotsylvania-va
Southampton,"Southampton, VA",51175,VA,southampton-va
Stafford,"Stafford, VA",51179,VA,stafford-va
Surry,"Surry, VA",51181,VA,surry-va
Sussex,"Sussex, DE",10005,DE,sussex-de
Tioga,"Tioga, PA",42117,PA,tioga-pa
Tucker,"Tucker, WV",54093,WV,tucker-wv
Susquehanna,"Susquehanna, PA",42115,PA,susquehanna-pa
Tazewell,"Tazewell, VA",51185,VA,tazewell-va
Sussex,"Sussex, VA",51183,VA,sussex-va
Union,"Union, NJ",34039,NJ,union-nj
Talbot,"Talbot, MD",24041,MD,talbot-md
Sussex,"Sussex, NJ",34037,NJ,sussex-nj
Union,"Union, PA",42119,PA,union-pa
Venango,"Venango, PA",42121,PA,venango-pa
Washington,"Washington, MD",24043,MD,washington-md
Virginia Beach City,"Virginia Beach City, VA",51810,VA,virginia-beach-city-va
Warren,"Warren, PA",42123,PA,warren-pa
Washington,"Washington, PA",42125,PA,washington-pa
Washington,"Washington, DC",11001,DC,washington-dc
Warren,"Warren, NJ",34041,NJ,warren-nj
Warren,"Warren, VA",51187,VA,warren-va
Wayne,"Wayne, PA",42127,PA,wayne-pa
Wicomico,"Wicomico, MD",24045,MD,wicomico-md
Westmoreland,"Westmoreland, PA",42129,PA,westmoreland-pa
Winchester City,"Winchester City, VA",51840,VA,winchester-city-va
Waynesboro City,"Waynesboro City, VA",51820,VA,waynesboro-city-va
Westmoreland,"Westmoreland, VA",51193,VA,westmoreland-va
Wyoming,"Wyoming, PA",42131,PA,wyoming-pa
Wythe,"Wythe, VA",51197,VA,wythe-va
Worcester,"Worcester, MD",24047,MD,worcester-md
Wood,"Wood, WV",54107,WV,wood-wv
Wise,"Wise, VA",51195,VA,wise-va
York,"York, CT",9015,CT,york-ct
York,"York, PA",42133,PA,york-pa
York,"York, VA",51199,VA,york-va
York,"York, WI",55019,WI,york-wi
